data_zone,intermediate_zone,council_area,total_population,working_age_population,income_dep_pct,income_dep,employ_dep_pct,employ_dep,cif,alcohol,drug,smr,depress_pct,lbwt_pct,emerg,attendance_pct,attainment_score,no_qual_ratio_std,not_participating_pct,university_pct,petrol_ave_drive_mins,gp_ave_drive_mins,drive_post,prim_sch_ave_drive_mins,drive_retail,sec_sch_ave_drive_mins,gp_ave_pub_trans_mins,pt_post,shopping_ave_pub_trans_mins,bband_pct,crime_count,crime_pct,overcrowd,nocentralheat,overcrowded_pct,nocentralheat_pct
S01010551,Nairn Rural,Highland,826,509,0.04,32,0.04,21,45,32.70238587,0,47.96935289,13.653136499999999,0,74.67233486,89.916,5.7272727273,58.008586230000006,4.5045044999999995,11.4286,5.20010219,9.300054745,4.061456204,3.561142241,7.833934307,11.33861765,32.01272628,17.46441241,25.08419891,73.9130435,20.308118400553923,24586.099758539858,31,33,4.5255474,4.817518199999999
S01010552,Nairn Rural,Highland,764,490,0.08,62,0.04,18,50,22.97407766,46.31403539,49.30592943,13.3069829,0,62.42554401,90.909,5.8571428571,68.9814564,0,16.8,10.74022669,9.081063218,9.786609195,5.309783951,10.69690932,12.14357143,33.62431833,33.79892401,36.65544168,60.6648199,5.077029600138481,6645.326701751938,40,41,5.1085568,5.2362708
S01010553,Nairn Rural,Highland,596,386,0.04,23,0.06,22,55,15.72968188,26.32421372,39.97533729,14.0495868,0,47.14221787,85.714,5.8,59.32454539,2.6086957,14.7059,12.89136071,14.7272182,12.04548309,10.11905263,14.70584944,17.13714286,36.81804549,30.11370773,36.76462359,97.3880597,6.092435520166177,10222.207248600967,15,38,2.4154589,6.1191626
S01010554,Nairn East,Highland,726,436,0.09,67,0.07,30,70,108.8080329,64.09785422,87.40336184,14.9171271,3.8461539000000005,82.78234019,87.5,5.0666666667,69.53042704,0,10.5882,2.334400773,3.635373711,2.592306701,2.963883929,2.035618557,5.3932,11.88572809,10.0797616,7.85681701,0.23255810000000002,11.169465120304658,15384.93818223782,105,17,13.5309278,2.1907216
S01010555,Nairn East,Highland,867,615,0.11,94,0.09,57,75,126.6607785,136.3387508,84.60657259,15.8139535,5.2631578999999995,87.26848845,81.022,5.9090909091,79.12870466,2.5423728999999997,8.5106,2.170302139,2.383085561,1.433296791,2.27737931,1.142737968,4.307693878,8.006834225,4.929593583,3.528181818,1.1864407000000001,82.24787952224338,94864.912943764,140,32,15.151515199999999,3.4632034999999997
S01010556,Nairn East,Highland,1016,545,0.19,195,0.14,76,135,128.6803369,156.6205971,175.1119846,26.499032900000003,6.0606061,103.0905436,76.949,5.2162162162,133.0104641,2.027027,2.4631,3.296189438,1.007347384,1.783435078,2.106803571,2.210479651,4.852247706,4.427250484,8.513028101,8.594353198,0,41.63164272113554,40976.02630033026,109,7,11.7710583,0.7559395
S01010557,Nairn East,Highland,628,386,0.12,74,0.09,35,90,56.46292268,28.68432981,70.66847837,15.4093098,10,76.65763851,74.834,5.3913043478,114.1935432,2.0618556999999997,5.4422,2.225405616,5.725842434,4.673205928,5.233510638,4.123588144,7.624468085,18.10805772,13.8926053,12.03646646,20.629370599999998,14.215682880387746,22636.437707623798,59,5,9.2043682,0.7800312
S01010558,Nairn East,Highland,788,453,0.11,83,0.1,46,90,131.8506326,21.95300811,91.37684565,17.314931,0,83.27903661,79.339,5.4482758621,89.23969055,1.0204081999999999,5.7851,1.83860625,4.399115625,3.357653125,3.644705882,2.79730625,6.379277778,14.9556125,12.225625,10.38991875,0.22522520000000001,17.261900640470834,21905.965279785323,63,8,7.875,1
S01010559,Nairn West,Highland,888,451,0.07,65,0.05,24,70,83.69395325,47.53921053,96.56220969,21.8181818,8.3333333,66.37889539,86.905,6.1875,40.22832564,0,15.5172,2.755347661,3.386681416,2.497910872,2.20428,2.589785082,4.251886447,12.7485493,9.238141593,8.457534766,6.0046189,11.169465120304658,12578.22648682957,18,8,2.4725275,1.0989011
S01010560,Nairn West,Highland,682,404,0.04,25,0.03,12,60,25.17414353,0,61.01451903,14.680232600000002,0,72.03406005,88.435,5.92,52.72790119999999,1.0869564999999999,10.687000000000001,1.638782051,2.519426848,1.723710407,2.811944444,2.470263952,2.957268519,10.47138009,6.084773756,7.734517345,0,13.20027696036005,19355.244809912096,22,4,3.3182504,0.6033183
