data_zone,intermediate_zone,count
S02001070,"Lochside, Braehead and Whitletts",10
S02000983,Lochwinnoch,10
S02000194,Lockerbie and Mid Annandale,20
S02001177,Logie,15
S02000202,Logie and Blackness,5
S02000144,Lomond Shore,15
S02000092,Longside and Rattray,5
S02000356,Longstone and Saughton Mains,5
S02000409,Lorne,25
S02000830,Lossiemouth East and Seatown,20
S02000831,Lossiemouth West,10
S02001151,Low Blantyre and Bardykes,5
S02001119,Low Waters,10
S02000178,Lower Annandale and South East Dumfries,15
S02000783,"Lower Bow & Larkfield, Fancy Farm, Mallard Bowl",0
S02000191,Lower Nithsdale,5
S02000323,Lower Whitecraigs and South Giffnock,5
S02000121,Lunan,5
S02000974,Luncarty and Dunkeld,25
S02000100,Macduff,10
S02000164,Machars South,15
S02000442,Maddiston and Rumford,5
S02000374,Marchmont East and Sciennes,15
S02000371,Marchmont West,5
S02000562,Markinch and Star,5
S02000704,Maryhill East,0
S02000700,Maryhill West,10
S02000025,Mastrick,5
S02000239,Mauchline,10
S02000235,Mauchline Rural,5
S02000612,Maxwell Park,5
S02001061,Maybole,10
S02000799,Mayfield,0
S02000379,Meadows,70
S02000050,Mearns North and Inverbervie,15
S02000048,Mearns South and Benholm,10
S02000313,"Mearns Village, Westacres and Greenfarm",10
S02000049,Mearns and Laurencekirk,10
S02000311,Mearnskirk and South Kirkhill,5
S02001033,Melrose and Tweedbank area,15
S02000160,Menstrie,5
S02000205,Menzieshill,5
S02000360,Merchiston and Greenhill,20
S02000467,Merchiston and New Carron Village,10
S02000326,Merrylee and Braidbar,5
S02000598,Merrylee and Millbrae,0
S02001106,Merryton and Meadowhill,5
S02000541,Methil Denbeath,5
S02000546,Methil East,5
S02000547,Methil Methilhill,5
S02000543,Methil West,5
S02000145,Mid Argyll,15
S02000196,Mid Nithsdale,15
S02000462,Middlefield,0
S02000023,Midstocket,5
S02000951,Milnathort and Crook of Devon,5
S02000890,Milnwood,5
S02000708,Milton East,0
S02000701,Milton West,10
S02000286,Milton of Campsie,0
S02000090,Mintlaw,10
S02000197,Moffat and Eskdalemuir,20
S02000959,Moncrieffe and Friarton,10
S02000106,Monifieth East,10
S02000105,Monifieth West,0
S02000109,Monikie,15
S02000125,Montrose North,10
S02000124,Montrose South,35
S02000927,Moodiesburn East,5
S02000926,Moodiesburn West,0
S02000171,Moors,15
S02000345,Moredun,5
S02000357,Morningside,20
S02000334,Mortonhall,5
S02001110,Mossneuk and Newlandsmuir,0
S02000621,Mosspark,5
S02000821,"Mosstodloch, Portgordon and seaward",0
S02000883,Motherwell North,5
S02000881,Motherwell South,45
S02000882,Motherwell West,0
S02000603,Mount Florida,15
S02000623,Mount Vernon North and Sandyhills,0
S02000395,Mountcastle,5
S02000593,Muirend and Old Cathcart,5
S02001078,Muirhead,5
S02000419,Muirhouse,5
S02000876,Muirhouse and Knowetop,20
S02000967,Muirton,5
S02000151,"Mull, Iona, Coll and Tiree",45
S02001208,Murieston,5
S02000390,Murrayfield and Ravelston,10
S02000952,"Muthill, Greenloaning and Gleneagles",10
S02000750,Nairn East,25
S02000738,Nairn Rural,10
S02000749,Nairn West,15
S02001114,Nerston and EK Landward Area,20
S02000325,Netherlee,5
S02000469,Nethermains,5
S02000874,Netherton and Kirkhill,10
S02000175,New Abbey,15
S02000232,New Cumnock,5
S02000819,New Elgin East,5
S02000818,New Elgin West,5
S02000251,New Farm Loch South,0
S02000094,New Pitsligo,10
S02000405,New Town East,35
S02000398,New Town West,115
S02000891,Newarthill,5
S02000796,Newbattle and Dalhousie,10
S02000579,Newburgh,5
S02001021,Newcastleton and Teviot area,15
S02000463,Newlands,10
S02000596,Newlands,10
S02000070,Newmachar and Fintray,5
S02000875,Newmains,15
S02000246,Newmilns,5
S02000582,Newport and Wormit,5
S02001071,Newton North,5
S02000798,Newtongrange,5
S02000055,Newtonhill,5
S02000457,Newtown,0
S02000362,Niddrie,0
S02000186,Nithside and Nunholm,95
S02000597,Nitshill,25
S02000652,North Barlanark and Easterhouse South,5
S02000477,North Broomage and Inches,10
S02000276,North Castlehill and Thorn,5
S02000327,North Giffnock and North Thornliebank,20
S02000795,North Gorebridge,5
S02000683,North Kelvin,10
S02000312,North Kirkhill,0
S02000427,North Leith and Newhaven,20
S02001055,North Mainland,20
S02000971,North Muirton and Old Scone,5
S02000481,North Queensferry and Inverkeithing West,10
S02000809,North Speyside,20
S02001056,North and East Isles,10
S02000257,Northern and Irvine Valley Rural,10
S02000031,Northfield,5
S02000392,Northfield,10
S02000439,Northwest Lewis,5
S02001209,Oakbank,10
S02000511,"Oakley, Comrie and Blairhall",10
S02000149,Oban North,60
S02000148,Oban South,25
S02000037,Old Aberdeen,5
S02000643,Old Shettleston and Parkhead North,10
S02000393,Old Town and Leith Street,390
S02000044,Oldmachar East,5
S02000045,Oldmachar West,0
S02000888,Orbiston,0
S02000870,Overtown,0
S02000341,Oxgangs and Firrhill,5
S02001000,Paisley Central,75
S02000989,Paisley Dykebar,0
S02000997,Paisley East,0
S02001003,Paisley Ferguslie,0
S02000987,Paisley Foxbar,0
S02001007,Paisley Gallowhill and Hillington,20
S02000986,Paisley Glenburn East,0
S02000985,Paisley Glenburn West,0
S02001010,Paisley North,45
S02001004,Paisley North East,20
S02001001,Paisley North West,15
S02001002,Paisley Ralston,0
S02000993,Paisley South,5
S02000991,Paisley South East,10
S02000990,Paisley South West,0
S02000995,Paisley West,0
S02000353,Parkhead,5
S02000629,Parkhead East and Braidfauld North,0
S02000633,Parkhead West and Barrowfield,35
S02000671,Partick,5
S02000677,Partickhill and Hyndland,10
S02000871,Pather,5
S02000794,Pathhead and Rural East Midlothian,10
S02001042,Peebles North,30
S02001041,Peebles South,0
S02000791,Penicuik East,5
S02000792,Penicuik North,0
S02000789,Penicuik Southeast,15
S02000790,Penicuik Southwest,0
S02000641,Penilee,5
S02000797,Pentland,25
S02000199,Perth Road,40
S02000086,Peterhead Bay,5
S02000088,Peterhead Harbour,40
S02000085,Peterhead Links,10
S02000089,Peterhead Ugieside,5
S02000910,Petersburn,5
S02000680,Petershill,5
S02000248,Piersland,5
S02000980,Pitlochry,45
S02000435,Point,5
S02000617,Pollok North and East,0
S02000608,Pollok South and West,10
S02000602,Pollokshaws,15
S02000622,Pollokshields East,15
S02000624,Pollokshields West,10
S02000449,Polmont,10
S02000375,Polwarth,10
S02000775,"Port Glasgow Mid, East and Central",5
S02000774,Port Glasgow Upper East,0
S02000776,"Port Glasgow Upper, West and Central",15
S02000058,Portlethen,10
S02000396,Portobello,25
S02000172,Portpatrick,25
S02000097,"Portsoy, Fordyce and Cornhill",10
S02000692,Possil Park,10
S02000949,"Powmill, Cleish and Scotlandwell",10
S02000364,Prestonfield,5
S02001075,Prestwick Airport and Monkton,25
S02001073,Prestwick East,0
S02001074,Prestwick West,25
S02000812,"Rafford, Dallas, Dyke to Dava",5
S02000981,Rannoch and Aberfeldy,55
S02001174,Raploch,10
S02000369,"Ratho, Gogarburn and Airport",30
S02000447,Redding,5
S02001013,Renfrew East,10
S02001016,Renfrew North,50
S02001011,Renfrew South,5
S02001014,Renfrew West,5
S02001015,Renfrewshire Rural North and Langbank,20
S02000984,Renfrewshire Rural South & Howwood,5
S02000403,Restalrig (Loganlea),5
S02000410,Restalrig and Lochend,5
S02000667,Riddrie and Hogganfield,5
S02000695,Robroyston and Millerston,10
S02000274,Rosebank and Waterside,5
S02000098,Rosehearty and Strathbeg,15
S02000021,Rosemount,15
S02000754,Ross and Cromarty Central,15
S02000757,Ross and Cromarty East,10
S02000760,Ross and Cromarty North West,40
S02000751,Ross and Cromarty South West,40
S02000486,Rosyth Central,5
S02000488,Rosyth East,5
S02000489,Rosyth North,5
S02000482,Rosyth South,15
S02000182,Rotchell and Rosefield,5
S02000133,Rothesay Town,25
S02000666,"Roystonhill, Blochairn, and Provanmill",5
S02000688,Ruchill,20
S02000810,Rural Keith and Strathisla,5
S02000788,Rural South Midlothian,15
S02000521,Saline and Gowkall,5
S02000846,Saltcoats Central,25
S02000852,Saltcoats North East,0
S02000848,Saltcoats North West,0
S02001164,Sauchenford,10
S02000155,Sauchie,10
S02000968,Scone,5
S02000686,Scotstoun North and East,0
S02000684,Scotstoun South and West,15
S02000758,Seaboard,10
S02000931,Seafar,0
S02000032,Seaton,5
S02001030,Selkirk,20
S02000365,Shandon,5
S02000807,Shawfair,10
S02001161,Shawfield and Clincarthill,30
S02000900,Shawhead and Whifflet,5
S02000605,Shawlands East,20
S02000609,Shawlands West,20
S02000027,Sheddocksley,5
S02001050,Shetland South,5
S02000632,Shettleston North,25
S02000611,Shettleston South,15
S02000441,Shieldhill,0
S02000240,Shortlees,5
S02000894,Shotts,5
S02000670,Sighthill,0
S02000417,Silverknowes and Davidson's Mains,15
S02001127,Silvertonhill,15
S02000867,Skelmorlie and Rural,5
S02000745,Skye North East,45
S02000746,Skye North West,25
S02000724,Skye South,40
S02000110,South Angus,10
S02000271,South Castlehill and Thorn,0
S02000332,South East Bypass,5
S02000363,South Gyle,30
S02000416,South Leith,25
S02000434,South Lewis,10
S02000429,South Queensferry (East) and Dalmeny,35
S02000430,South Queensferry West,5
S02000808,South Speyside and the Cabrach,25
S02000324,South Thornliebank and Woodfarm,5
S02000255,Southcraig and Beansburn,5
S02000387,Southside and Canongate,55
S02001152,Spittal,0
S02000691,Springburn,10
S02000694,Springburn East and Cowlairs,5
S02000842,Springside and Rural,10
S02000577,St Andrews Central,65
S02000578,St Andrews North and Strathkinness,20
S02000576,St Andrews South East,5
S02000572,St Andrews South West,10
S02001031,St Boswells and Newtown area,10
S02001126,St Leonards North,5
S02001121,St Leonards South,10
S02000558,St Monans and Pittenweem,10
S02000320,Stamperland,5
S02000889,Stane,10
S02000975,Stanley and Murthly,10
S02001224,Starlaw,5
S02000367,Stenhouse,5
S02000472,Stenhousemuir East,5
S02000475,Stenhousemuir West,10
S02000923,Stepps,20
S02000844,Stevenston Ardeer,10
S02000850,Stevenston Hayocks,5
S02000847,Stevenston North West,10
S02001135,Stewartfield East,0
S02001131,Stewartfield West,15
S02000259,Stewarton East,15
S02000258,Stewarton West,0
S02001169,Stirling East,5
S02000208,Stobswell,20
S02000404,Stockbridge,40
S02000028,Stockethill,5
S02000052,Stonehaven North,10
S02000051,Stonehaven South,30
S02001092,Stonehouse,5
S02000436,Stornoway East,0
S02000437,Stornoway West,40
S02000169,Stranraer Central,40
S02000170,Stranraer West,10
S02001094,Strathaven North,0
S02001089,Strathaven South,15
S02000614,Strathbungo,35
S02001167,Strathendrick,30
S02000946,"Stromness, Sandwick and Stenness",10
S02001097,Strutherhill,0
S02000020,Summerhill,10
S02000713,Summerston Central and West,0
S02000710,Summerston North,5
S02000185,Summerville,10
S02000916,Sunnyside and Cliftonville,30
S02000762,Sutherland East,20
S02000764,Sutherland North and West,35
S02000761,Sutherland South,35
S02000759,Tain,15
S02000455,Tamfourhill,0
S02000583,Tayport,10
S02001179,Teith Valley,10
S02000217,The Glens,10
S02000349,The Inch,5
S02001117,The Murray,5
S02000539,Thornton and Kinglassie,10
S02001124,"Thorntonhall, Jackton and Gardenhall",5
S02000806,Thornybank,0
S02000920,Thrashbush,0
S02000769,Thurso East,30
S02000770,Thurso West,5
S02000163,Tillicoultry,15
S02000036,Tillydrone,5
S02000385,Tollcross,150
S02000630,Tollcross,10
S02001171,Torbrex,5
S02000278,Torrance and Balmore,5
S02000015,Torry East,5
S02000012,Torry West,15
S02000610,Toryglen and Oatlands,5
S02001172,Town Centre,90
S02000919,Townhead,10
S02000425,Trinity,10
S02001077,Troon,35
S02000159,Tullibody North and Glenochil,5
S02000156,Tullibody South,10
S02000091,Turriff,15
S02000283,Twechar and Harestanes East,0
S02001155,Uddingston and Gardenside,25
S02001230,Uphall,10
S02000198,Upper Nithsdale,15
S02000501,"Valleyfield, Culross and Torryburn",5
S02001149,Vicarland and Cairns,5
S02000682,Victoria Park,0
S02000963,"Viewlands, Craigie and Wellshill",10
S02000899,Viewpark,5
S02000939,Village and Castlecary,15
S02001175,Wallace,5
S02000428,Waterfront and Granton,15
S02000537,Wemyss,0
S02000321,West Arthurlie and North Neilston,0
S02000777,"West Braeside, East Inverkip and West Gourock",5
S02001203,West Calder,10
S02000285,West Clober and Mains Estate,0
S02000019,West End North,35
S02000017,West End South,15
S02000210,West Ferry,0
S02000858,West Kilbride and Seamill,5
S02000944,West Kirkwall,20
S02001040,West Linton and Broughton area,15
S02000948,West Mainland,10
S02001125,West Mains,15
S02000314,West Neilston and Uplawmoor,10
S02000422,West Pilton,10
S02000224,West Pitkerro,5
S02001157,Westburn and Newton,0
S02000200,Westend,15
S02000220,Western Edge,5
S02000966,Western Edge,10
S02001176,Western Villages,10
S02000263,Westerton East,0
S02000265,Westerton West,0
S02000930,Westfield,10
S02001228,Westfield,0
S02000063,Westhill Central,15
S02000064,Westhill North and South,5
S02001123,Westwood East,0
S02001116,Westwood South,0
S02000134,Whiskey Isles,35
S02001207,Whitburn Central,25
S02000316,Whitecraigs and Broom,5
S02001142,Whitehill,20
S02001108,Whitehills West,5
S02000673,Whiteinch,10
S02000226,Whitfield,5
S02001148,Whitlawburn and Greenlees,0
S02000766,Wick North,15
S02000765,Wick South,10
S02000319,Williamwood,5
S02000382,Willowbrae and Duddingston Village,20
S02001233,Winchburgh,5
S02000550,Windygates and Coaltown,5
S02000872,Wishaw East,5
S02000877,Wishaw North,10
S02000873,Wishaw South,20
S02001118,Woodhead and Meikle Earnock,5
S02000261,Woodhill East,0
S02000262,Woodhill West,5
S02000665,Woodlands,65
S02000038,Woodside,15
S02000669,Woodside,10
S02000693,Wyndford,10
S02000707,Yoker North,0
S02000696,Yoker South,5
S02000078,Ythanside,5
S02000075,Ythsie,10
S02001624,Abbeyhill,5
S02001325,Aberchirder and Whitehills,10
S02001779,Aberdour and Auchtertool,15
S02002227,Aberuthven and Almondbank,10
S02001286,Aboyne and South Deeside,15
S02002205,Abronhill North,0
S02002204,Abronhill South,5
S02002188,Airdrie North,15
S02001928,Alexandra Parade,10
S02002146,Allanton - Newmains Rural,5
S02001403,Alloa North,5
S02001402,Alloa South and East,35
S02001404,Alloa West,5
S02002335,Alloway and Doonfoot,10
S02002020,Alness,10
S02001500,Altonhill North and Onthank,5
S02001501,"Altonhill South, Longpark and Hillhead",10
S02001396,Alva,10
S02002246,Alyth,10
S02001935,Anderston,45
S02001369,Angus Glens,15
S02001442,Annan East,5
S02001441,Annan West,20
S02001439,Annandale East,5
S02001440,Annandale West,10
S02002349,"Annbank, Mossblown and Tarbolton - the Coalfields",5
S02001970,Anniesland East,10
S02001971,Anniesland West,5
S02001832,Anstruther,20
S02001354,Arbroath Cliffburn,5
S02001353,Arbroath Harbour,40
S02001352,Arbroath Keptie,10
S02001351,Arbroath Kirkton,5
S02001350,Arbroath Landward,10
S02001355,Arbroath Warddykes,5
S02001474,Ardler and St Marys,10
S02002112,Ardrossan Central,15
S02002114,Ardrossan North East,5
S02002113,Ardrossan North West,5
S02002500,Armadale,20
S02002501,Armadale South,0
S02002097,Arran,50
S02001559,Arthurlie and Gateside,0
S02002371,Ashgill and Netherburn,5
S02001262,Ashgrove,5
S02001560,Auchenback,0
S02001521,Auchinairn,10
S02001485,Auchinleck,10
S02001332,Auchnagatt,0
S02002223,Auchterarder,20
S02001322,Auchterless and Monquhitter,0
S02001824,Auchtermuchty and Gateside,5
S02002340,"Ayr North Harbour, Wallacetown and Newton South",20
S02002339,Ayr South Harbour and Town Centre,95
S02001579,Baberton and Juniper Green,10
S02001983,Badenoch and Strathspey Central,55
S02001984,Badenoch and Strathspey North,35
S02001982,Badenoch and Strathspey South,40
S02001901,Baillieston East,25
S02001900,Baillieston West,0
S02001576,Balerno and Bonnington Village,5
S02002437,Balfron and Drymen,20
S02001470,Balgay,0
S02001283,Balgownie and Donmouth East,10
S02001282,Balgownie and Donmouth West,5
S02001661,Balgreen and Roseburn,5
S02001775,Ballingry,5
S02002209,Balloch East,10
S02002208,Balloch West,5
S02002212,Balmalloch,5
S02001312,Balmedie and Potterton,5
S02001839,Balmullo and Gauldry,5
S02001919,Balornock,0
S02001297,Banchory East,5
S02001298,Banchory West,15
S02001295,Banchory-Devenick and Findon,10
S02001326,Banff,20
S02002411,Bankhead South,5
S02001700,"Banknock, Haggs and Longcroft",5
S02002482,Bankton and Murieston,5
S02002443,Bannockburn,5
S02002352,Barassie,0
S02001908,Barlanark,10
S02001508,Barloch,5
S02001920,Barmulloch,5
S02001460,Barnhill,5
S02001674,"Barnton, Cammo and Cramond South",5
S02001687,Barra and South Uist,15
S02001317,Barrahill,10
S02002504,Bathgate East,40
S02002505,Bathgate West,0
S02002503,Bathgate and Boghall,5
S02002502,"Bathgate, Wester Inch and Inchcross",5
S02001867,Battlefield,20
S02001453,Baxter Park,0
S02002134,Beith East and Rural,10
S02002133,Beith West,0
S02001494,Bellfield and Kirkstyle,5
S02002165,Bellshill Central,5
S02002163,Bellshill South,25
S02002481,"Bellsquarry, Adambrae and Kirkton",20
S02002337,Belmont,5
S02001688,Benbecula and North Uist,15
S02001373,Benderloch Trail,40
S02002303,Berwickshire Central,10
S02002305,Berwickshire East,20
S02002355,"Biggar, Symington, Thankerton and Dolphinton",20
S02001629,"Bingham, Magdalene and The Christians",5
S02002168,Birkenshaw,10
S02002435,"Birniehill, Kelvin and Whitehills East",10
S02001519,Bishopbriggs North and Kenmure,5
S02001520,Bishopbriggs West and Cadder,20
S02002286,Bishopton,15
S02002019,Black Isle North,10
S02002018,Black Isle South,25
S02001307,Blackburn,5
S02002496,Blackburn,10
S02001609,"Blackford, West Mains and Mayfield Road",20
S02001664,Blackhall,10
S02001917,Blackhill and Barmulloch East,5
S02001737,"Blackness, Bo'ness - Carriden and Grahamsdyke",10
S02002506,"Blackridge, Westfield and Torphichen",5
S02002497,Blaeberry Hill and East Whitburn,5
S02002247,"Blair Atholl, Strathardle and Glenshee",35
S02001972,Blairdardie East,0
S02001973,Blairdardie West,5
S02002248,Blairgowrie East (Rattray),5
S02002249,Blairgowrie West,30
S02002436,Blane Valley,10
S02002392,Blantyre South and Wheatlands,10
S02002394,Blantytre North and Coatshill,10
S02001734,Bo'ness - Douglas,5
S02001736,Bo'ness - Kinneil,10
S02001735,Bo'ness - Newtown,0
S02001580,Bonaly and The Pentlands,10
S02001649,Bonnington,15
S02001701,Bonnybridge,15
S02002061,Bonnyrigg North,20
S02002060,Bonnyrigg South,5
S02001502,Bonnyton and Town Centre,50
S02002446,Borestone,10
S02001667,Boswall and Pilton,5
S02002400,Bothwell North,0
S02002399,Bothwell South,10
S02002044,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",5
S02002448,Braehead,15
S02001723,Braes Villages,0
S02002040,"Braeside, Branchton, Lower Larkfield and Ravenscraig",5
S02001240,"Braeside, Mannofield, Broomhill and Seafield East",10
S02001242,"Braeside, Mannofield, Broomhill and Seafield North",5
S02001241,"Braeside, Mannofield, Broomhill and Seafield South",0
S02001896,Braidfauld,20
S02001361,Brechin East,10
S02001362,Brechin West,15
S02002479,Breich Valley,5
S02002453,Bridge of Allan and University,25
S02002229,Bridge of Earn and Abernethy,10
S02002291,Bridge of Weir,10
S02001892,Bridgeton,10
S02001725,Brightons and Wallacestone,5
S02001692,Broadbay,0
S02001959,Broomhill,10
S02001586,Broomhouse and Bankhead,10
S02002445,Broomridge,10
S02001653,Broughton North and Powderhall,15
S02001654,Broughton South,5
S02001459,Broughty Ferry East,5
S02001458,Broughty Ferry West,45
S02002514,Broxburn East,15
S02002511,Broxburn Kirkhill,5
S02002513,Broxburn South,5
S02001617,Bruntsfield,35
S02001813,"Buckhaven, Denbeath and Muiredge",5
S02002078,Buckie Central East,10
S02002079,Buckie West and Mains of Buckie,15
S02001277,Bucksburn North,70
S02001276,Bucksburn South,5
S02002407,"Burgh, Eastfield and Silverbank",5
S02002092,"Burghead, Roseisle and Laich",10
S02002232,Burghmuir and Oakbank,0
S02002396,Burnbank Central and Udston,5
S02002395,Burnbank North,15
S02002397,Burnbank South and Chantinghall,10
S02002316,Burnfoot,0
S02002410,Burnhill and Bankhead North,0
S02002414,Burnside and Springhall,5
S02001781,Burntisland East,5
S02001780,Burntisland West,10
S02001567,Busby,10
S02001381,Bute,10
S02001465,Caird Park,0
S02001742,Cairneyhill and Crombie,0
S02002185,Cairnhill,25
S02002029,Caithness North East,15
S02002030,Caithness North West,10
S02002026,Caithness South,10
S02002179,Calderbank and Brownsburn,0
S02002190,Caldercruix and Plains,10
S02002418,Calderwood Central,0
S02002417,Calderwood East,0
S02002419,Calderwood West and Nerston,10
S02002458,Callander and Trossachs,40
S02001428,Calside,0
S02001891,Calton and Gallowgate,25
S02002439,Cambusbarron,0
S02002406,Cambuslang Central,15
S02001380,Campbeltown,20
S02001623,"Canongate, Southside and Dumbiedykes",55
S02001657,Canonmills and New Town North,25
S02001776,Cardenden,15
S02001851,Cardonald North,0
S02001850,Cardonald South and East,20
S02001852,Cardonald West and Central,20
S02002193,Cardowan and Millerston,5
S02002152,Carfin North,5
S02002154,Carfin and Cleekhimin,10
S02002361,Carluke East,0
S02002360,Carluke North,10
S02002362,Carluke South,10
S02002359,Carluke West,5
S02002494,Carmondean and Eliburn North,10
S02001879,Carmunnock North,0
S02001880,Carmunnock South,0
S02001898,Carmyle and Mount Vernon South,5
S02001349,Carnoustie East,10
S02001348,Carnoustie West,10
S02001913,Carntyne,5
S02001929,Carntyne West and Haghill,20
S02001875,Carnwadric East,5
S02001874,Carnwadric West,5
S02001680,Carrick Knowe,0
S02002333,Carrick North,15
S02002329,Carrick South,25
S02002207,Carrickstone,5
S02001708,Carron,5
S02001709,Carronshore,5
S02001710,Carse and Grangemouth Old Town,10
S02002457,Carse of Stirling,20
S02002356,"Carstairs, Carstairs Junction and Carnwath",5
S02001415,Castle Douglas,25
S02002336,Castlehill and Kincaidston,0
S02001883,Castlemilk,5
S02001886,Cathcart,10
S02002452,Causewayhead,5
S02001905,Central Easterhouse,5
S02002325,Central Shetland,10
S02002239,Central and South Inch,100
S02002181,Chapelhall East,10
S02002180,Chapelhall West,0
S02002379,"Chapelton, Glengavel and Sandford",0
S02001472,Charleston,5
S02002309,Cheviot East,10
S02002312,Cheviot West,5
S02002307,Chirnside and Area,10
S02002195,Chryston and Muirhead,10
S02001448,City Centre,90
S02002449,City Centre,65
S02001250,City Centre East,95
S02001932,City Centre East,135
S02001934,City Centre South,370
S02001249,City Centre West,155
S02001933,City Centre West,110
S02001400,"Clackmannan, Kennet and Forestmill",5
S02001568,Clarkston and Sheddens,10
S02001320,Clashindarroch,5
S02002150,Cleland,5
S02001675,Clermiston and Drumbrae,10
S02002176,Cliftonville,15
S02001582,Clovenstone and Wester Hailes,0
S02002354,Clydesdale South,5
S02002153,Clydesdale and New Stevenston,15
S02002173,Coatbridge West,10
S02002186,Coatdyke and Whinhall,30
S02002308,Coldstream and Area,10
S02001596,Colinton Mains and Firrhill,5
S02001581,Colinton and Kingsknowe,5
S02001434,Collin,15
S02002143,Coltness,5
S02001659,Comely Bank,5
S02001598,Comiston and Swanston,10
S02002224,"Comrie, Gilmerton and St Fillans",25
S02002199,Condorrat,5
S02002016,Conon,5
S02002451,Cornton,5
S02001679,Corstorphine,25
S02001678,Corstorphine North,0
S02001681,Corstorphine South,5
S02002245,Coupar Angus and Meigle,15
S02001256,Cove North,35
S02001255,Cove South,0
S02001384,Cowal North,35
S02001383,Cowal South,20
S02001771,Cowdenbeath North,10
S02001770,Cowdenbeath South,5
S02002441,Cowie,5
S02001924,Cowlairs and Port Dundas,15
S02002334,Coylton,10
S02001915,Craigend and Ruchazie,5
S02001636,Craigentinny,0
S02002341,Craigie,0
S02001454,Craigie and  Craigiebank,5
S02001663,"Craigleith, Orchard Brae and Crewe Toll",5
S02001593,Craiglockhart,10
S02001627,Craigmillar,20
S02002182,Craigneuk Airdrie,5
S02002139,Craigneuk Wishaw,5
S02002487,Craigshill,5
S02001857,Craigton,5
S02001833,Crail and Boarhills,20
S02001673,Cramond,5
S02001914,"Cranhill, Lightburn and Queenslie South",5
S02001299,Crathes and Torphins,10
S02002225,Crieff North,10
S02002226,Crieff South,20
S02001300,Cromar and Kildrummy,10
S02001561,Crookfur and Fruin,10
S02001847,Crookston North,0
S02001846,Crookston South,0
S02001557,Cross Stobbs,0
S02001743,Crossford Charlestown and Limekilns,15
S02002363,"Crossford, Braidwood and Yieldshields",5
S02001768,Crossgates and Halbeath,25
S02002429,Crosshouse and Lindsayfield,0
S02001504,"Crosshouse, Gatehead and Kilmaurs Rural",5
S02001333,Cruden,10
S02002077,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",15
S02001236,Culter,10
S02001238,"Cults, Bieldside and Milltimber East",10
S02001237,"Cults, Bieldside and Milltimber West",0
S02002202,Cumbernauld Central,20
S02001272,Cummings Park,5
S02001484,Cumnock North,15
S02001481,Cumnock Rural,10
S02001483,Cumnock South and Craigens,5
S02001827,Cupar Central,25
S02001828,Cupar East,5
S02001826,Cupar West and Springfield,5
S02001578,Currie East,10
S02001577,Currie West,0
S02001829,Dairsie Ceres and Dunino,10
S02001416,Dalbeattie,15
S02001417,Dalbeattie Rural,20
S02001766,Dalgety Bay Central,5
S02001767,Dalgety Bay East,10
S02001765,Dalgety Bay West and Hillend,5
S02002066,Dalkeith,25
S02001893,Dalmarnock,5
S02001684,"Dalmeny, Kirkliston and Newbridge",20
S02002342,Dalmilling,5
S02002123,Dalry East and Rural,15
S02002124,Dalry West,0
S02001619,Dalry and Fountainbridge,40
S02001279,Danestone,5
S02001842,Darnley East,5
S02001843,Darnley North,5
S02001844,Darnley West,5
S02001489,Darvel,5
S02001498,Dean and New Farm Loch North,0
S02002493,Deans,5
S02001660,Deans Village,205
S02002483,Dedridge East,35
S02001330,Deer and Mormond,10
S02002315,Denholm and Hermitage,15
S02001284,Denmore,10
S02001930,Dennistoun,10
S02001927,Dennistoun North,10
S02001698,Denny - Nethermains,5
S02002017,Dingwall,25
S02001449,Docks and Wellgate,25
S02001399,Dollar and Muckhart,10
S02001477,Doon Valley North,0
S02001476,Doon Valley South,10
S02001457,Douglas East,0
S02001455,Douglas West,5
S02002368,"Douglas, Coalburn and Rigside",10
S02001957,Dowanhill,25
S02001467,Downfield,5
S02002100,Dreghorn,10
S02001479,Drongan,5
S02001975,Drumchapel North,0
S02001974,Drumchapel South,10
S02002189,Drumgelloch,10
S02001855,Drumoyne and Shieldhall,10
S02002172,Drumpellier and Langloan,0
S02001976,Drumry East,5
S02001977,Drumry West,5
S02001665,Drylaw,10
S02001633,Duddingston and Portobello South,5
S02001430,Dumfries Central,80
S02002455,Dunblane East,15
S02002456,Dunblane West,0
S02002350,"Dundonald, Loans and Symington",15
S02002171,Dundyvan,10
S02001296,"Dunecht, Durris and Drumoak",10
S02001753,Dunfermline Abbeyview North,10
S02001754,Dunfermline Abbeyview South,0
S02001745,Dunfermline Baldridgeburn,10
S02001750,Dunfermline Bellyeoman and Townhill,5
S02001748,Dunfermline Brucefield,10
S02001747,Dunfermline Central,50
S02001751,Dunfermline Duloch North and Lynebank,0
S02001755,Dunfermline Duloch South,5
S02001749,Dunfermline Garvock Hill,0
S02001746,Dunfermline Headwell,0
S02001756,Dunfermline Masterton,0
S02001744,Dunfermline Milesmark and Wellwood,0
S02001757,Dunfermline Pitcorthie East,5
S02001758,Dunfermline Pitcorthie West,5
S02001752,Dunfermline Touch and Woodmill,0
S02001696,Dunipace,5
S02001386,Dunoon,25
S02002304,Duns,10
S02001558,"Dunterlie, East Arthurlie and Dovecothall",30
S02001305,Durno-Chapel of Garioch,5
S02001278,Dyce,20
S02001796,Dysart,10
S02001565,Eaglesham and Waterfoot,5
S02002296,Earlston Stow and Clovernfords Area,10
